locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1587393,Truly Food & More,Truck,6148201,GENEVA AVE: PRAGUE ST to LINDA VISTA STPS (1500 - 1598) -- SOUTH --,1500 GENEVA AVE,6418065,6418,65,21MFF-00151,REQUESTED,Latin Food: Tacos: Pupusas: Vegetables: Salad: Water: Sodas,6002948.585,2087593.93,37.7123026,-122.4316442,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00151&ExportPDF=1&Filename=21MFF-00151_schedule.pdf,,,,20211229,0,11/15/2022 0:00,"(37.712302604744416, -122.43164419037294)",9,7,6,28861,5
1741555,Philz Coffee Truck,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),401 CALIFORNIA ST,260001,260,1,23MFF-00045,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6012304.287,2116717.605,37.79279574,-122.4013533,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00045&ExportPDF=1&Filename=23MFF-00045_schedule.pdf,,,11/15/2023 0:00,20231115,0,11/15/2024 0:00,"(37.79279574157871, -122.40135328093122)",4,1,10,28854,6
1621287,Street Meet,Truck,13057001,VALENCIA ST: 14TH ST to ROSA PARKS LN (300 - 337),306 VALENCIA ST,3546001,3546,1,22MFF-00033,REQUESTED,Burritos: Tacos: Tortas: Quesadillas & Various Drinks.,6006013.135,2107762.89,37.76785527,-122.4224844,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00033&ExportPDF=1&Filename=22MFF-00033_schedule.pdf,,,9/6/2019 0:00,20220602,0,1/15/2021 0:00,"(37.767855269354264, -122.42248440416165)",8,4,5,28853,19
1738245,Zuri Food Facilities,Truck,3529000,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,260010,260,10,23MFF-00036,APPROVED,Peruvian Food Served Hot,6012002.812,2116560.078,37.79234639,-122.4023853,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00036&ExportPDF=1&Filename=23MFF-00036_schedule.pdf,,,11/15/2023 0:00,20231103,0,11/15/2024 0:00,"(37.792346385148, -122.40238532279395)",4,1,10,28854,6
1738240,Zuri Food Facilities,Truck,141000,02ND ST: STILLMAN ST to BRYANT ST (454 - 499),490 02ND ST,3763007,3763,7,23MFF-00035,APPROVED,Peruvian Food Served Hot,6014337.512,2113125.58,37.7830461,-122.3940666,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00035&ExportPDF=1&Filename=23MFF-00035_schedule.pdf,,,11/15/2023 0:00,20231103,0,11/15/2024 0:00,"(37.783046099749996, -122.39406659922962)",6,2,9,28856,6
1741512,La Jefa,Truck,2801102,BAY SHORE BLVD: WATERLOO ST to MARENGO ST (501 - 559) -- EAST --,531 BAY SHORE BLVD,5607038,5607,38,23MFF-00044,REQUESTED,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.,6010348.157,2097065.717,37.7387268,-122.406736,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00044&ExportPDF=1&Filename=23MFF-00044_schedule.pdf,,,,20231115,0,11/15/2024 0:00,"(37.738726803987134, -122.40673602990493)",10,3,8,58,1
1741556,Philz Coffee Truck,Truck,8701000,MARINA BLVD: LAGUNA ST to BEACH ST \ BUCHANAN ST \ LOWER FORT MASON ST (1 - 99),15 MARINA BLVD,446002,446,2,23MFF-00045,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6003247.312,2121194.213,37.80457787,-122.4330108,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00045&ExportPDF=1&Filename=23MFF-00045_schedule.pdf,,,11/15/2023 0:00,20231115,0,11/15/2024 0:00,"(37.80457786909011, -122.43301077434302)",13,9,1,57,17
1741554,Philz Coffee Truck,Truck,12323000,SUTTER ST: POWELL ST to MASON ST (500 - 599),556 SUTTER ST,284009,284,9,23MFF-00045,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6009899.062,2115524.564,37.78938545,-122.4095913,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00045&ExportPDF=1&Filename=23MFF-00045_schedule.pdf,,,11/15/2023 0:00,20231115,0,11/15/2024 0:00,"(37.789385451039095, -122.4095912604668)",5,1,10,28857,21
1738246,Zuri Food Facilities,Truck,12045000,SPEAR ST: MISSION ST to HOWARD ST (100 - 199),100 SPEAR ST,3717001,3717,1,23MFF-00037,APPROVED,Peruvian Food Served Hot,6014423.85,2116439.642,37.79215055,-122.394,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00037&ExportPDF=1&Filename=23MFF-00037_schedule.pdf,,,11/15/2023 0:00,20231103,0,11/15/2024 0:00,"(37.792150548481686, -122.39399997405945)",12,2,9,28855,6
1591840,Tacos Rodriguez,Truck,5331101,EVANS AVE: KEITH ST to MENDELL ST (1201 - 1399) -- SOUTH --,1275 EVANS AVE,5237033,5237,33,22MFF-00024,SUSPEND,Tacos: burritos: quesadillas: soda & water,6017367.817,2097063.665,37.73911143,-122.382465,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00024&ExportPDF=1&Filename=22MFF-00024_schedule.pdf,,,,20220126,1,11/15/2022 0:00,"(37.73911142974502, -122.38246497113636)",10,3,8,58,1
1591842,Tacos Rodriguez,Truck,9794000,OAKDALE AVE: INDUSTRIAL ST \ SELBY ST to TOLAND ST (2100 - 2199),2198 OAKDALE AVE,5590A008,5590A,8,22MFF-00024,SUSPEND,Tacos: burritos: quesadillas: soda & water,6011973.411,2097858.615,37.74099474,-122.4011723,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00024&ExportPDF=1&Filename=22MFF-00024_schedule.pdf,,,,20220126,1,11/15/2022 0:00,"(37.74099473500238, -122.4011723353864)",10,3,8,58,1
1591841,Tacos Rodriguez,Truck,8958000,MENDELL ST: GALVEZ AVE to HUDSON AVE (600 - 699),600 MENDELL ST,5254037,5254,37,22MFF-00024,SUSPEND,Tacos: burritos: quesadillas: soda & water,6016207.357,2097293.665,37.73967879,-122.3864934,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00024&ExportPDF=1&Filename=22MFF-00024_schedule.pdf,,,,20220126,1,11/15/2022 0:00,"(37.73967879180792, -122.38649338455488)",10,3,8,58,1
1729507,Senor Sisig,Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,263011,263,11,23MFF-00009,APPROVED,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,6013245.668,2116754.292,37.79294895,-122.3980986,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00009&ExportPDF=1&Filename=23MFF-00009_schedule.pdf,,,10/3/2023 0:00,20230926,0,11/15/2024 0:00,"(37.792948952834664, -122.39809861316652)",4,1,10,28860,6
1729512,Senor Sisig,Truck,5170000,ELLIS ST: POWELL ST to CYRIL MAGNIN ST (100 - 148),120 ELLIS ST,326005,326,5,23MFF-00010,APPROVED,Filipino fusion food: taco: burrito: nachos: rice plates,6010286.046,2114141.69,37.78561009,-122.4081548,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00010&ExportPDF=1&Filename=23MFF-00010_schedule.pdf,,,10/3/2023 0:00,20230926,0,11/15/2024 0:00,"(37.78561008636915, -122.40815476434545)",14,10,10,28852,36
1735099,Think is Good Inc.,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,239029,239,29,23MFF-00033,REQUESTED,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.,6012181.836,2116889.979,37.79326221,-122.4017891,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00033&ExportPDF=1&Filename=23MFF-00033_schedule.pdf,,,,20231019,0,11/15/2024 0:00,"(37.793262206923096, -122.4017890913628)",4,1,10,28854,6
